"State","Facility Name","Facility ID","Date","Hour","Gross Load (MW)","Steam Load (1000 lb/hr)","SO2 Mass (lbs)","CO2 Mass (short tons)","NOx Mass (lbs)","Heat Input (mmBtu)"
"MA","Pittsfield Generating",50002,"2025-03-27",9,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",10,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",11,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",12,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",13,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",14,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",15,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",16,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",17,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",18,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",19,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",20,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",5,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",6,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",7,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",8,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",9,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",10,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",11,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",12,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",13,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",14,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",15,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",16,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",17,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",18,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",19,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",20,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-28",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",5,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",6,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",7,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",8,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",9,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",10,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",11,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",12,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",13,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",14,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",15,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",16,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",17,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",18,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",19,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",20,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-29",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-30",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-30",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-30",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-30",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-30",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-30",5,,,,,,
